"nome","partido","uf","cargo","sequencial"
"SILAS CAMARA","PSD","AM","DEPUTADO FEDERAL",40000000360
"ANA CRISTINA DE CARLI","SD","AM","DEPUTADO FEDERAL",40000000361
"JOAO BOSCO NERY DE OLIVEIRA","DEM","AM","DEPUTADO ESTADUAL",40000000424
"JANUARIO FRANCISCO ROCHA","DEM","AM","DEPUTADO ESTADUAL",40000000425
"MÁRCIO ARAÚJO DOS SANTOS","DEM","AM","DEPUTADO ESTADUAL",40000000426
"ROBSON DA SILVA TEIXEIRA","DEM","AM","DEPUTADO ESTADUAL",40000000427
"ADENOR DE SOUZA FIGUEIRA","DEM","AM","DEPUTADO ESTADUAL",40000000428
"ANTÔNIO AMARANTO MOURA DA SILVA","DEM","AM","DEPUTADO ESTADUAL",40000000429
"JOSÉ ABREU DE MELO","DEM","AM","DEPUTADO ESTADUAL",40000000430
"ROSILANGE DE AZEVEDO ARAÚJO","DEM","AM","DEPUTADO ESTADUAL",40000000431
"EDSON REGIS DA SILVA","DEM","AM","DEPUTADO ESTADUAL",40000000432
"ANTÔNIO CARMO DE LIMA","DEM","AM","DEPUTADO ESTADUAL",40000000433
"JORGE LIRA PORTELA","DEM","AM","DEPUTADO ESTADUAL",40000000434
"MARIA ROSINEIDE MOURÃO SOLARTE","DEM","AM","DEPUTADO ESTADUAL",40000000435
"JOSÉ AUGUSTO FERRAZ DE LIMA","DEM","AM","DEPUTADO ESTADUAL",40000000436
"IVANILSON DOS SANTOS","PHS","AM","DEPUTADO ESTADUAL",40000000437
"RAIMUNDO BULCÃO DA SILVA","PHS","AM","DEPUTADO ESTADUAL",40000000438
"ANDREIA LADISLAU DE SOUZA","PHS","AM","DEPUTADO ESTADUAL",40000000439
"ALGENOR DA COSTA BUTEL","PHS","AM","DEPUTADO ESTADUAL",40000000440
"LUIZA MARTA PEREIRA SEVALHO","PHS","AM","DEPUTADO ESTADUAL",40000000441
"ALTAMIR PEREIRA DE OLIVEIRA FILHO","PHS","AM","DEPUTADO ESTADUAL",40000000442
"ANTÔNIO DE MATOS BARBOSA","PHS","AM","DEPUTADO ESTADUAL",40000000443
"LUIZ ANDRADE DE SOUSA","PHS","AM","DEPUTADO ESTADUAL",40000000444
"PAULO VITORINO DE FARIAS","PHS","AM","DEPUTADO ESTADUAL",40000000445
"MARCOS WILLIAN DOS SANTOS ARÉVALO","PHS","AM","DEPUTADO ESTADUAL",40000000446
"ORLANDO LIMA BARROS","PHS","AM","DEPUTADO ESTADUAL",40000000447
"JOSÉ RODRIGUES MOURÃO","PHS","AM","DEPUTADO ESTADUAL",40000000448
"ELIANDRO JORGE NOGUEIRA DE ARAÚJO","PHS","AM","DEPUTADO ESTADUAL",40000000449
"WALLACE SERGIO RIBEIRO DA SILVA","DEM","AM","DEPUTADO ESTADUAL",40000000450
