nome,partido,uf,cargo,sequencial
"SERGIO ANTONIO NECHAR",PSB,SP,"DEPUTADO FEDERAL",250000001460
"ADILSON ROBERTO VENÂNCIO DE GODOY",PROS,SP,"DEPUTADO ESTADUAL",250000000895
"MANOEL DOS SANTOS SILVA IRMÃO",PEN,SP,"DEPUTADO FEDERAL",250000003837
"JOAQUIM VIEIRA DOS SANTOS",PSOL,SP,"DEPUTADO FEDERAL",250000001723
"GERVASIO APARECIDO DA SILVA",PP,SP,"DEPUTADO FEDERAL",250000002156
"GILMARCOS ERIC BATISTA MURARI",PSOL,SP,"DEPUTADO ESTADUAL",250000001700
"JOANA CAETANO DA CRUZ",PMN,SP,"DEPUTADO ESTADUAL",250000000322
"ELISEU MIRANDA DE OLIVEIRA",PDT,SP,"DEPUTADO ESTADUAL",250000002034
"MAURICIO DA SILVA DE MORAES JUNIOR",PT,SP,"DEPUTADO FEDERAL",250000000650
"ROQUE PINHEIRO GODOY",PTB,SP,"DEPUTADO FEDERAL",250000002352
"JOSÉ ANTONIO FERNANDES PAIVA",PT,SP,"DEPUTADO FEDERAL",250000000639
"SEBASTIÃO DOS SANTOS FILHO",PRB,SP,"DEPUTADO ESTADUAL",250000001599
"JOÃO BATISTA DE SOUZA LIMA",PT,SP,"DEPUTADO FEDERAL",250000000640
"ROBERTO SEBASTIÃO PETERNELLI JUNIOR",PSC,SP,"DEPUTADO FEDERAL",250000000418
"GUILHERME DA SILVA MONTANARI",PT,SP,"DEPUTADO ESTADUAL",250000000539
"KENNEDY RENE RODRIGUES DA SILVA",PTN,SP,"DEPUTADO FEDERAL",250000000131
"VANESSA RAMOS CABRAL",PSB,SP,"DEPUTADO FEDERAL",250000001482
"CIRO BATELLI CARVALHO",PSC,SP,"DEPUTADO FEDERAL",250000000481
"ANDERSON BENEVIDES DOS SANTOS",PSC,SP,"DEPUTADO FEDERAL",250000000445
"ALESSANDRO GONÇALVES",PSOL,SP,"DEPUTADO ESTADUAL",250000001761
"RAQUEL DE PAULA",PSTU,SP,"DEPUTADO ESTADUAL",250000001886
"MÁRCIA SUELI BARRETO CANEVARI",PSDB,SP,"DEPUTADO ESTADUAL",250000001544
"MARCIA REGINA CASATI",PRP,SP,"DEPUTADO ESTADUAL",250000002811
"MAURICIO PEREIRA DOS SANTOS",PHS,SP,"DEPUTADO FEDERAL",250000002931
"VERUSKA OLIVEIRA TENÓRIO",PSTU,SP,"DEPUTADO ESTADUAL",250000001891
"TELMA CRISTINA DOMINGOS DOS SANTOS",PPS,SP,"DEPUTADO ESTADUAL",250000001629
"ORIVALDO PRATO",PSL,SP,"DEPUTADO ESTADUAL",250000000245
